,제목,tag,story_tag
1103,드래곤볼 슈퍼,"열혈, 먼치킨, 카리스마","성장, 경쟁, 대회, 판타지, 액션, 마을, 경기장"
1104,슬레이어즈 레볼루션,주체적 여성,"서양풍, 판타지, 액션, 개그"
1105,(자막) 유유백서 리마스터,"요괴 및 괴물, 이능력, 교복, 먼치킨","배틀, 대회, 동양풍, 판타지, 액션, 개그, 사후세계"
1106,노기자카 하루카의 비밀,nan,"성장, 개그, 로맨스, 학교"
1107,07월 22일,"발랄가볍, 아이돌","일상, 음악, 마을"
1108,그리자이아 : 팬텀 트리거 01. 소드,"군인, 먼치킨","감동, 무거움, 판타지, 액션, 개그, 로맨스, 하렘, 학교"
1109,우당탕탕 괴짜가족,nan,"일상, 개그, 학교, 마을, 집, 회사"
1110,"극장판 16기 포켓몬스터 BW: 신의 속도 게노세크트, 뮤츠의 각성",발랄가볍,"우정, 성장, 배틀, 판타지, 액션, 개그"
1111,(더빙) 역전재판 2기,탐정,"배틀, 두뇌싸움, 추리, 회사"
1112,마법소녀 나 - 판권 부활,"마법소녀, 아이돌","마법, 판타지, 액션, 개그"
1113,"흐린 하늘에 웃다 외전 3 : 벚꽃, 천망의 가교",이능력,"가족, 동양풍, 판타지, 액션, 시대물, 범죄, 무협, 감옥"
1114,메탈 베이블레이드 (1기),nan,"배틀, 경쟁, 대회, 게임, 판타지, 액션, 아동, 스포츠, 경기장"
1115,빅 오더,이능력,"배틀, 생존, 무거움, 판타지, 액션, 학교"
1116,숲의 요정 페어리루 part 2,발랄가볍,"우정, 마법, 감동, 판타지, 아동, 개그"
1117,라프텔을 200퍼센트 즐기는 방법,nan,nan
1118,(자막) 지브리 컬렉션 vol. 2,귀여움,"가족, 감동, 몽환, 판타지, 치유, 농촌"
1119,극장판 15기 포켓몬스터 BW: 큐레무 vs 성검사 케르디오,발랄가볍,"우정, 성장, 배틀, 판타지, 액션, 개그"
1120,고스트 바둑왕 스페셜 : 북두배로 가는 길,"귀신, 먼치킨","성장, 경쟁, 두뇌싸움, 판타지, 스포츠, 학교, 경기장, 회사"
1121,(더빙) 명탐정 코난 7기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
1122,극장판 K seven stories : RB BLAZE,이능력,"배틀, 정치, 판타지, 액션, 상상의 장소, 왕궁 및 성"
1123,(더빙) 극장판 테니스의 왕자: 영국식 테니스성 결전,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
1124,TRICKSTER -에도가와 란포 「소년탐정단」으로부터-,이능력,"배틀, 액션, SF, 추리"
1125,NIGHT HEAD 2041,이능력,"액션, SF, 드라마"
1126,흐린 하늘에 웃다 외전 2 : 숙명 쌍두의 후마,이능력,"가족, 동양풍, 판타지, 액션, 시대물, 범죄, 무협, 감옥"
1127,핑구 시즌 2,동물,"감동, 아동, 일상, 개그, 상상의 장소"
1128,(더빙) 명탐정 코난 17기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
1129,극장판 창궁의 파프너 : Heaven and Earth,로봇,"생존, 무거움, 액션, SF, 디스토피아"
1130,창궁의 파프너: RIGHT OF LEFT OVA,로봇,"생존, 무거움, 액션, SF, 디스토피아"
1131,SHOW BY ROCK!! STARS!!,"요괴 및 괴물, 아이돌","성장, 개그, 음악"
1132,무사 쥬베이,nan,"무거움, 슬픔, 판타지, 액션, 로맨스, 시대물, 무협"
1133,"팔남이라니, 그건 아니지!",발랄가볍,"이세계, 판타지, 액션, 상상의 장소"
1134,슬램덩크 ~전국제패를 향해!~,"교복, 먼치킨","우정, 성장, 경쟁, 대회, 감동, 액션, 개그, 스포츠, 학교, 경기장, 회사"
1135,썬더 일레븐 2.5기,nan,"우정, 배틀, 감동, 판타지, 스포츠"
1136,머털도사,이능력,"경쟁, 판타지, 액션, 아동, 시대물, 상상의 장소"
1137,올 아웃!!,nan,"경쟁, 액션, 스포츠, 학교, 경기장"
1138,안녕! 보노보노 2기,"동물, 귀여움","성장, 감동, 철학, 아동, 일상, 개그, 치유, 자연"
1139,썬더 일레븐 GO 갤럭시,nan,"우정, 배틀, 감동, 판타지, 스포츠"
1140,디지몬 테이머즈 6기 : 폭주 디지몬 특급,nan,"우정, 성장, 배틀, 이세계, 판타지, 액션, 아동, 상상의 장소"
1141,마음의 소리 시즌 1,nan,"일상, 개그, 마을"
1142,(더빙) 마루코는 아홉살 3 part 1,귀여움,"성장, 가족, 아동, 일상, 개그, 학교, 집"
1143,포켓몬스터 모두의 이야기,nan,"우정, 성장, 배틀, 판타지, 액션, 아동"
1144,프리파라 뮤지컬,"연예인, 발랄가볍, 아이돌","우정, 아동, 음악"
1145,플란다스의 개,동물,"우정, 가족, 서양풍, 감동, 슬픔, 아동"
1146,디지몬 테이머즈 5기 : 모험자들의 싸움,nan,"우정, 성장, 배틀, 이세계, 판타지, 액션, 아동, 상상의 장소"
1147,유큐홀더! 마법선생 네기마! 2 특별편,미소녀,"배틀, 마법, 판타지, 액션, 개그, 로맨스, 하렘"
1148,블라,발랄가볍,로맨스
1149,(더빙) 심쿵! 프리큐어,"마법소녀, 발랄가볍","우정, 마법, 감동, 판타지, 액션, 아동"
1150,안녕 자두야 1기,귀여움,"가족, 감동, 아동, 일상, 개그, 시대물"
1151,이니셜 D Extra Stage,자동차,"배틀, 경쟁, 스포츠, 경기장"
1152,숲의 요정 페어리루 시즌2 ~마법의거울~,발랄가볍,"우정, 마법, 감동, 판타지, 아동, 개그"
1153,극장판 K Sevens Stories : SIDE : BLUE ~천랑과 같이~,nan,nan
