,제목,tag,story_tag
0,(무삭제) 귀멸의 칼날,"요괴 및 괴물, 열혈","성장, 무거움, 판타지, 액션, 시대물"
1,주술회전 part 1,"요괴 및 괴물, 이능력, 열혈, 교복","성장, 판타지, 액션, 학교, 마을"
2,지박소년 하나코 군,"귀신, 발랄가볍","판타지, 액션, 개그, 로맨스, 미스터리, 학교, 마을, 여성향"
3,호리미야,"주체적 여성, 발랄가볍","우정, 성장, 로맨스, 학교, 집, 드라마"
4,주술회전 part 2,"요괴 및 괴물, 이능력, 열혈, 교복","성장, 판타지, 액션, 학교, 마을"
5,원펀맨,"히어로, 열혈, 먼치킨","배틀, 판타지, 액션, 개그"
6,하이큐!! 1기,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
7,약속의 네버랜드 1기,귀여움,"충격의 1화, 생존, 판타지, 미스터리, 스릴러, 공포, 노이타미나"
8,극장판 귀멸의 칼날 : 무한열차편,"요괴 및 괴물, 열혈","성장, 무거움, 판타지, 액션, 시대물"
9,슈퍼 시크릿,귀여움,"마법, 삼각관계, 짝사랑, 감동, 판타지, 일상, 개그, 로맨스, 학교, 마을, 집"
10,(자막) 하이큐!! 2기,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
11,암살교실 1기,"선생님, 먼치킨","우정, 경쟁, 액션, 개그, 학교, 마을"
12,(더빙) 강철의 연금술사 BROTHERHOOD,먼치킨,"성장, 무거움, 철학, 판타지, 액션, 개그"
13,암살교실 2기,"선생님, 먼치킨","우정, 성장, 경쟁, 판타지, 액션, 개그, 학교, 마을"
14,하이큐!! 카라스노 고교 VS 시라토리자와학원 고교 (3기),열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
15,(자막) 나의 히어로 아카데미아 1기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
16,전생했더니 슬라임이었던 건에 대하여 1기,"요괴 및 괴물, 이능력, 악마 또는 천사, 마왕, 발랄가볍, 먼치킨","마법, 이세계, 전쟁, 환생, 판타지, 액션, 개그, 상상의 장소"
17,하이큐!! TO THE TOP part 1,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
18,(자막) 마도조사 1기,"요괴 및 괴물, 미소년","액션, 시대물, 무협, BL"
19,4월은 너의 거짓말,nan,"성장, 삼각관계, 감동, 슬픔, 로맨스, 음악, 학교, 공연장, 노이타미나, 드라마"
20,소드 아트 온라인 1기,"미소녀, 전사, 먼치킨","이세계, 게임, 액션, SF, 하렘, 상상의 장소"
21,(자막) 나의 히어로 아카데미아 2기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
22,(자막) 마도조사 2기,"요괴 및 괴물, 미소년","액션, 시대물, 무협, BL"
23,카구야 님은 고백받고 싶어 ~천재들의 연애 두뇌전~ 2기,"발랄가볍, 교복","두뇌싸움, 감동, 일상, 개그, 로맨스, 학교, 남성향"
24,오늘부터 신령님 1기,요괴 및 괴물,"성장, 동양풍, 감동, 판타지, 로맨스"
25,(자막) 나의 히어로 아카데미아 3기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
26,하이큐!! TO THE TOP part 2,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
27,(더빙) 마도조사 1기,"요괴 및 괴물, 미소년","액션, 시대물, 무협, BL"
28,센과 치히로의 행방불명,요괴 및 괴물,"감동, 몽환, 판타지"
29,여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다···,nan,"이세계, 게임, 판타지, 개그, 상상의 장소, 여성향"
30,진격의 거인 The FINAL,군인,"복수, 생존, 무거움, 판타지, 액션, 미스터리, 공포, 재난, 마을"
31,나만이 없는 거리,이능력,"우정, 두뇌싸움, 살인, 루프물, 무거움, 추리, 미스터리, 범죄, 스릴러, 학교, 마을, 노이타미나"
32,월간순정 노자키 군,"발랄가볍, 교복","일상, 개그, 로맨스, 학교"
33,새벽의 연화,주체적 여성,"성장, 전쟁, 동양풍, 정치, 역하렘, 판타지, 액션, 로맨스, 시대물"
34,오늘부터 신령님 2기,요괴 및 괴물,"성장, 동양풍, 감동, 판타지, 로맨스"
35,카구야 님은 고백받고 싶어 ~천재들의 연애 두뇌전~ 1기,"발랄가볍, 교복","두뇌싸움, 감동, 일상, 개그, 로맨스, 학교, 남성향"
36,청춘 돼지는 바니걸 선배의 꿈을 꾸지 않는다,"미소녀, 연예인","성장, 짝사랑, 루프물, 슬픔, 판타지, 로맨스, SF, 치유, 학교, 마을, 드라마"
37,마왕성에서 잘 자요,"마왕, 발랄가볍, 귀여움","판타지, 개그, 감옥, 왕궁 및 성"
38,동급생,nan,"성장, BL, 학교, 드라마"
39,코바야시네 메이드래곤,"오타쿠, 귀여움","마법, 판타지, 일상, 개그, 집"
40,(자막) 이 멋진 세계에 축복을! 1기,"마왕, 발랄가볍","마법, 이세계, 서양풍, 판타지, 액션, 개그, 하렘, 상상의 장소"
41,노 게임 노 라이프 - 판권 부활,먼치킨,"이세계, 전쟁, 게임, 두뇌싸움, 판타지, 액션, 하렘"
42,전생했더니 슬라임이었던 건에 대하여 2기 1부,"요괴 및 괴물, 이능력, 악마 또는 천사, 마왕, 발랄가볍, 먼치킨","마법, 이세계, 전쟁, 환생, 판타지, 액션, 개그, 상상의 장소"
43,Re : 제로부터 시작하는 이세계 생활 2기 part 1,nan,"마법, 이세계, 루프물, 판타지, 액션, 스릴러"
44,하울의 움직이는 성,귀여움,"가족, 감동, 몽환, 판타지, 치유, 농촌"
45,진격의 거인 1기,군인,"복수, 생존, 무거움, 판타지, 액션, 미스터리, 공포, 재난, 마을"
46,(자막) 시간을 달리는 소녀,교복,"우정, 성장, 짝사랑, 시간여행, 감동, 판타지, 로맨스, SF, 학교, 집, 회사"
47,진격의 거인 3기 part 1,군인,"복수, 생존, 무거움, 판타지, 액션, 미스터리, 공포, 재난, 마을"
48,진격의 거인 2기,군인,"복수, 생존, 무거움, 판타지, 액션, 미스터리, 공포, 재난, 마을"
49,문호 스트레이 독스 3기,"이능력, 탐정","판타지, 액션, 시대물, 추리, 미스터리, 마을"
50,문호 스트레이 독스 1기,"이능력, 탐정","판타지, 액션, 시대물, 추리, 미스터리"
51,(더빙) 너에게 닿기를 1기 리마스터,"교복, 귀여움","우정, 성장, 감동, 로맨스, 학교, 집, 회사"
52,일곱 개의 대죄 (1기),먼치킨,"배틀, 판타지, 액션"
53,마법사의 신부,nan,"성장, 마법, 서양풍, 감동, 판타지, 로맨스, 치유, 마을, 상상의 장소"
54,진격의 거인 3기 part 2,군인,"복수, 생존, 무거움, 판타지, 액션, 미스터리, 공포, 재난, 마을"
55,목소리의 형태,교복,"우정, 성장, 감동, 슬픔, 로맨스, 치유, 학교, 드라마"
56,도쿄 구울,"이능력, 먼치킨","배틀, 생존, 무거움, 판타지, 액션, 미스터리, 스릴러"
57,문호 스트레이 독스 2기,"이능력, 탐정","판타지, 액션, 시대물, 추리, 미스터리"
58,코바야시네 메이드래곤 S,"오타쿠, 귀여움","마법, 판타지, 일상, 개그, 집"
59,바라카몬,"발랄가볍, 교복, 먼치킨","성장, 감동, 일상, 개그, 치유, 학교, 섬, 농촌, 회사"
60,(자막) 이 멋진 세계에 축복을! 2기,"마왕, 발랄가볍","마법, 이세계, 서양풍, 판타지, 액션, 개그, 하렘, 상상의 장소"
61,나츠메 우인장 1기,"요괴 및 괴물, 미소년","동양풍, 감동, 철학, 판타지, 일상, 치유, 미스터리, 마을, 자연, 드라마"
62,(더빙) 데스노트 리마스터,"악마 또는 천사, 탐정, 먼치킨","두뇌싸움, 무거움, 판타지, 추리, 미스터리, 범죄, 스릴러, 마을, 사후세계"
63,방패 용사 성공담,먼치킨,"이세계, 서양풍, 판타지, 액션"
64,극장판 짱구는 못말려 9기 : 어른제국의 역습,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
65,(자막) 오란고교 사교클럽,"발랄가볍, 교복, 귀여움","동아리, 짝사랑, 역하렘, 감동, 개그, 로맨스, 학교"
66,(자막) 나의 히어로 아카데미아 4기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
67,일곱 개의 대죄 : 계명의 부활 (2기),먼치킨,"배틀, 판타지, 액션"
68,던전에서 만남을 추구하면 안 되는 걸까,발랄가볍,"성장, 판타지, 액션, 하렘, 상상의 장소"
69,에스케이 에이트,미소년,"액션, 스포츠, 경기장, 여성향"
70,청춘 돼지는 꿈꾸는 소녀의 꿈을 꾸지 않는다,"미소녀, 연예인","성장, 시간여행, 슬픔, 판타지, 로맨스, SF, 학교, 마을, 드라마"
71,(더빙) 오란고교 사교클럽,"발랄가볍, 교복, 귀여움","동아리, 역하렘, 감동, 일상, 개그, 로맨스, 학교"
72,(더빙) 마도조사 2기,"요괴 및 괴물, 미소년","액션, 시대물, 무협, BL"
73,Fate/stay night [Unlimited Blade Works],먼치킨,"성장, 배틀, 마법, 서양풍, 무거움, 철학, 판타지, 액션, 마을"
74,소드 아트 온라인 2기,"미소녀, 전사, 먼치킨","이세계, 게임, 액션, SF, 하렘, 상상의 장소"
75,오버로드 1기,"악마 또는 천사, 마왕, 전사, 먼치킨","마법, 이세계, 게임, 무거움, 판타지, 액션, 상상의 장소, 왕궁 및 성"
76,원펀맨 2기,"히어로, 먼치킨","배틀, 판타지, 액션, 개그"
77,빨강머리 백설공주,nan,nan
78,극장판 노 게임 노 라이프 제로,먼치킨,"이세계, 전쟁, 게임, 판타지"
79,Re : 제로부터 시작하는 이세계 생활 2기 part 2,nan,"마법, 이세계, 루프물, 판타지, 액션, 스릴러"
80,(자막) 나의 히어로 아카데미아 5기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
81,(더빙) 이누야샤 1기,요괴 및 괴물,"성장, 경쟁, 마법, 판타지, 액션, 로맨스, 시대물"
82,슈타인즈 게이트,nan,"비밀조직, 살인, 루프물, 시간여행, 무거움, 철학, SF, 스릴러, 마을, 집"
83,마녀의 여행,nan,"마법, 여행, 무거움, 판타지"
84,아픈 건 싫으니까 방어력에 올인하려고 합니다,발랄가볍,"게임, 판타지, 액션, 개그, 상상의 장소"
85,(자막) 하이큐!! 끝과 시작,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
86,(더빙) 원피스 1기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
87,Re : 제로부터 시작하는 이세계 생활 감독판,nan,"마법, 이세계, 루프물, 판타지, 액션, 스릴러"
88,소드 아트 온라인 앨리시제이션,"미소녀, 전사, 먼치킨","이세계, 게임, 액션, SF, 하렘, 상상의 장소"
89,(자막) 일하는 세포,nan,"지식전달, 판타지, 액션, 일상, 개그, SF"
90,(자막) 늑대아이,nan,"성장, 가족, 육아, 감동, 철학, 슬픔, 판타지, 치유, 집, 농촌"
91,과호흡 (리마스터링),nan,"짝사랑, BL"
92,(더빙) 너에게 닿기를 2기 리마스터,"교복, 귀여움","우정, 성장, 감동, 로맨스, 학교, 집, 회사"
93,나츠메 우인장 2기,"요괴 및 괴물, 미소년","동양풍, 감동, 철학, 판타지, 일상, 치유, 미스터리, 마을, 자연, 드라마"
94,암살교실 : 365일의 시간,"선생님, 먼치킨","우정, 성장, 경쟁, 판타지, 액션, 개그, 학교, 마을"
95,극장판 문호 스트레이 독스 DEAD APPLE,"이능력, 탐정","판타지, 액션, 시대물, 추리, 미스터리"
96,(자막) 하이큐!! 재능과 센스,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
97,시맨틱 에러 스페셜,nan,"BL, 학교, 여성향"
98,나츠메 우인장 3기,"요괴 및 괴물, 미소년","동양풍, 감동, 철학, 판타지, 일상, 치유, 미스터리, 마을, 자연, 드라마"
99,불멸의 그대에게 part 1,nan,"성장, 감동, 무거움, 철학, 판타지, 미스터리, 드라마"
100,나츠메 우인장 4기,"요괴 및 괴물, 미소년","동양풍, 감동, 철학, 판타지, 일상, 치유, 미스터리, 마을, 자연, 드라마"
101,나츠메 우인장 6기,"요괴 및 괴물, 미소년","동양풍, 감동, 철학, 판타지, 일상, 치유, 미스터리, 마을, 자연, 드라마"
102,바니타스의 수기,"요괴 및 괴물, 미소년",판타지
103,나츠메 우인장 5기,"요괴 및 괴물, 미소년","동양풍, 감동, 철학, 판타지, 일상, 치유, 미스터리, 마을, 자연, 드라마"
104,Fate/Zero,먼치킨,"성장, 배틀, 마법, 서양풍, 무거움, 철학, 판타지, 액션, 마을"
105,극장판 소드 아트 온라인 -오디널 스케일-,"미소녀, 전사, 먼치킨","이세계, 게임, 액션, SF, 하렘, 상상의 장소"
106,(자막) 하이큐!! 승자와 패자,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
107,츠루네 -카제마이고교 궁도부-,열혈,"우정, 동아리, 감동, 스포츠, 학교"
108,역시 내 청춘 러브코메디는 잘못됐다. 완,"미소녀, 교복, 아싸","성장, 동아리, 삼각관계, 무거움, 철학, 로맨스, 학교, 집, 드라마"
109,사카모토입니다만?,"교복, 미소년, 카리스마","일상, 개그, 학교, 회사"
110,어쨌든 귀여워,"발랄가볍, 귀여움","개그, 로맨스, 집"
111,은혼 1기,외계인,"동양풍, 판타지, 액션, 개그, 시대물, 무협, 마을, 상점"
112,문호 스트레이독스 멍!,"이능력, 발랄가볍, 탐정","판타지, 액션, 개그, 시대물, 추리, 미스터리"
113,무직전생 : 이세계에 갔으면 최선을 다한다 1기,먼치킨,"마법, 이세계, 환생, 판타지, 액션"
114,살육의 천사,기억상실,"두뇌싸움, 살인, 생존, 무거움, 범죄, 스릴러, 공포"
115,기븐,nan,"감동, 음악, BL, 마을, 공연장, 노이타미나"
116,종말의 세라프,"뱀파이어, 먼치킨","배틀, 무거움, 판타지, 액션"
117,나루토 1기,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
118,전생했더니 슬라임이었던 건에 대하여 2기 2부,"요괴 및 괴물, 이능력, 악마 또는 천사, 마왕, 발랄가볍, 먼치킨","마법, 이세계, 전쟁, 환생, 판타지, 액션, 개그, 상상의 장소"
119,(자막) 마도조사 Q,"요괴 및 괴물, 미소년","액션, 시대물, 무협, BL"
120,괴물사변,"요괴 및 괴물, 열혈","성장, 판타지, 액션, 미스터리"
121,장난을 잘 치는 타카기 양,"발랄가볍, 교복","일상, 개그, 로맨스, 학교"
122,역시 내 청춘 러브코메디는 잘못됐다.,"미소녀, 교복, 아싸","성장, 동아리, 삼각관계, 무거움, 철학, 로맨스, 학교, 집, 드라마"
123,보석의 나라,nan,"배틀, 무거움, 철학, 판타지, 액션, SF, 상상의 장소"
124,건어물 여동생 우마루짱,"미소녀, 발랄가볍, 교복, 귀여움","우정, 성장, 가족, 일상, 개그, 학교, 집"
125,약속의 네버랜드 2기,귀여움,"충격의 1화, 생존, 판타지, 미스터리, 스릴러, 공포, 노이타미나"
126,은혼° (3기),외계인,"동양풍, 판타지, 액션, 개그, 시대물, 무협, 마을, 상점"
127,니세코이,"발랄가볍, 교복","삼각관계, 개그, 로맨스, 하렘, 학교, 마을, 집"
128,(자막) 해변의 에트랑제,nan,"성장, BL, 마을, 바다"
129,5등분의 신부 ∬,nan,"일상, 개그, 로맨스, 하렘, 마을, 집"
130,종말의 세라프 나고야결전편 part 2,"뱀파이어, 먼치킨","배틀, 무거움, 판타지, 액션"
131,역시 내 청춘 러브코메디는 잘못됐다. 속 - 판권 부활,"미소녀, 교복, 아싸","성장, 동아리, 삼각관계, 무거움, 철학, 로맨스, 학교, 집, 드라마"
132,(자막) 하이큐!! 콘셉트의 싸움,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
133,도쿄 리벤저스 part 1,"이능력, 열혈","우정, 성장, 시간여행, 판타지, 액션, 미스터리, 드라마"
134,도쿄 구울 √A,"이능력, 먼치킨","배틀, 생존, 무거움, 판타지, 액션, 미스터리, 스릴러"
135,미이라 사육법,"요괴 및 괴물, 동물, 귀여움","판타지, 일상, 개그, 집"
136,오버로드 2기,"악마 또는 천사, 마왕, 전사, 먼치킨","마법, 이세계, 게임, 무거움, 판타지, 액션, 상상의 장소, 왕궁 및 성"
137,어서오세요 실력 지상주의 교실에,"교복, 먼치킨","경쟁, 두뇌싸움, 학교"
138,흑집사 : 북 오브 서커스,"악마 또는 천사, 먼치킨","복수, 판타지, 액션, 개그, 시대물, 미스터리, 스릴러"
139,PSYCHO-PASS 1기,nan,"무거움, 철학, 액션, SF, 추리, 범죄, 스릴러, 노이타미나, 디스토피아"
140,나루토 질풍전 1기,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
141,샤를로트,"이능력, 기억상실, 교복, 미소년, 먼치킨","성장, 시간여행, 판타지, 로맨스, 학교"
142,불꽃 소방대 1기,이능력,"성장, 배틀, 액션"
143,메이드 인 어비스,귀여움,"무거움, 몽환, 슬픔, 판타지, 미스터리, 상상의 장소"
144,모노노케 히메,nan,"무거움, 철학, 판타지, 액션, 시대물"
145,(더빙) 하이큐!! 2기,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
146,(자막) 중2병이라도 사랑이 하고싶어!,"미소녀, 오타쿠, 발랄가볍, 교복, 귀여움","우정, 성장, 개그, 로맨스, 학교"
147,혈계전선 & 비욘드,"이능력, 열혈","성장, 비밀조직, 판타지, 액션, 마을"
148,청의 엑소시스트,"악마 또는 천사, 귀신, 교복, 미소년, 먼치킨, 쌍둥이","퇴마, 판타지, 액션, 개그, 학교, 집, 사후세계, 회사"
149,(더빙) 헌터X헌터 리메이크 part 1,"이능력, 헌터, 먼치킨","성장, 배틀, 두뇌싸움, 무거움, 판타지, 액션, 상상의 장소, 경기장"
150,(자막) 썸머 워즈,먼치킨,"두뇌싸움, 액션, 개그, SF, 미스터리, 상상의 장소, 집, 농촌"
151,Vivy -Fluorite Eye’s Song-,nan,"철학, SF, 디스토피아, 드라마"
152,최애가 부도칸에 가 준다면 난 죽어도 좋아,"오타쿠, 아이돌","음악, 공연장"
153,소드 아트 온라인 Extra Edition OVA,"미소녀, 전사, 먼치킨","이세계, 게임, 액션, SF, 하렘, 상상의 장소"
154,고블린 슬레이어,nan,"복수, 무거움, 판타지, 액션, 상상의 장소"
155,니세코이: (2기),"발랄가볍, 교복","삼각관계, 개그, 로맨스, 하렘, 학교, 마을, 집"
156,에로망가 선생,발랄가볍,"개그, 로맨스, 하렘, 집"
157,즐겁게 놀아보세,"미소녀, 발랄가볍","일상, 개그, 학교"
158,극장판 나츠메 우인장 : 세상과 연을 맺다,"요괴 및 괴물, 미소년","동양풍, 감동, 철학, 판타지, 일상, 치유, 미스터리, 마을, 자연, 드라마"
159,너의 췌장을 먹고 싶어,nan,"감동, 슬픔, 로맨스, 학교, 드라마"
160,후르츠 바스켓 1기,동물,"우정, 성장, 삼각관계, 감동, 무거움, 슬픔, 판타지, 로맨스, 치유, 학교, 집"
161,오버로드 3기,"악마 또는 천사, 마왕, 전사, 먼치킨","마법, 이세계, 게임, 무거움, 판타지, 액션, 상상의 장소, 왕궁 및 성"
162,이별의 아침에 약속의 꽃을 장식하자,nan,"가족, 감동, 슬픔, 치유, 드라마"
163,마법사의 신부 특별편 ~ 별을 기다리는 이,nan,"성장, 마법, 서양풍, 감동, 판타지, 로맨스, 치유, 마을, 상상의 장소"
164,옆자리 괴물군,교복,"우정, 성장, 개그, 로맨스, 학교, 집, 회사"
165,흑집사 : 북 오브 더 아틀란틱,"악마 또는 천사, 먼치킨","복수, 판타지, 액션, 개그, 시대물, 미스터리"
166,건어물 여동생! 우마루짱 R (2기),"미소녀, 발랄가볍, 교복, 귀여움","우정, 성장, 가족, 일상, 개그, 학교, 집"
167,타나카 군은 항상 나른해,"발랄가볍, 교복","우정, 일상, 개그, 학교"
168,안기고 싶은 남자 1위에게 협박당하고 있습니다,연예인,BL
169,PSYCHO-PASS 1기 (신편집판),nan,"무거움, 철학, 액션, SF, 추리, 범죄, 스릴러, 노이타미나, 디스토피아"
170,우라미치 선생님,연예인,"무거움, 개그, 회사"
171,불꽃 소방대 2기,이능력,"성장, 배틀, 액션"
172,일곱 개의 대죄 : 성전의 전조 (1.5기),먼치킨,"배틀, 판타지, 액션"
173,프린세스 커넥트! Re:Dive,발랄가볍,"판타지, 액션, 개그, 상상의 장소"
174,"괴롭히지 말아요, 나가토로 양",nan,"일상, 개그, 로맨스, 학교"
175,알바 뛰는 마왕님!,"마왕, 전사, 교복, 먼치킨","마법, 이세계, 판타지, 액션, 개그, 로맨스, 학교, 마을, 상점, 회사"
176,은혼. (4기),외계인,"동양풍, 판타지, 액션, 개그, 시대물, 무협, 마을, 상점"
177,기생수 세이의 격률,nan,"우정, 성장, 생존, 무거움, 철학, 판타지, 액션, SF, 미스터리, 스릴러, 공포, 학교, 집, 회사"
178,노라가미,이능력,"배틀, 동양풍, 환생, 감동, 판타지, 액션, 개그, 마을, 사후세계"
179,"여친, 빌리겠습니다","미소녀, 귀여움","개그, 로맨스, 하렘"
180,여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다… X,nan,"이세계, 게임, 판타지, 개그, 상상의 장소, 여성향"
181,(더빙) 카우보이 비밥 리마스터,먼치킨,"무거움, 액션, 개그, SF, 범죄"
182,도쿄 리벤저스 part 2,"이능력, 열혈","우정, 성장, 시간여행, 판타지, 액션, 미스터리, 드라마"
183,후르츠 바스켓 2기,동물,"삼각관계, 감동, 무거움, 슬픔, 판타지, 로맨스, 치유, 학교, 집"
184,전생했더니 슬라임이었던 건에 대하여 : 전생슬라임 일기,"요괴 및 괴물, 이능력, 악마 또는 천사, 마왕, 발랄가볍, 먼치킨","마법, 이세계, 전쟁, 환생, 판타지, 액션, 개그, 상상의 장소"
185,섀도 하우스,nan,"무거움, 판타지, 미스터리, 집, 드라마"
186,다!다!다!,"외계인, 발랄가볍, 교복","육아, 일상, 개그, 로맨스, SF, 학교, 집"
187,중2병이라도 사랑이 하고싶어! 연,"미소녀, 오타쿠, 발랄가볍, 교복, 귀여움","우정, 성장, 개그, 로맨스, 학교"
188,에미야 가의 오늘의 밥상,nan,"마법, 판타지, 일상, 음식, 마을"
189,심심한 칠드런,교복,"개그, 로맨스, 학교, 회사"
190,가정교사 히트맨 리본!,"이능력, 싸우는 미소녀","우정, 성장, 배틀, 판타지, 액션, 개그, 학교, 집, 회사"
191,낙제기사의 영웅담,먼치킨,"마법, 전쟁, 판타지, 액션, 하렘, 학교"
192,시원찮은 그녀를 위한 육성방법 ♭ (2기),"미소녀, 교복","성장, 게임, 동아리, 로맨스, 하렘, 학교, 마을, 집, 노이타미나"
193,던전에서 만남을 추구하면 안 되는 걸까 Ⅱ,발랄가볍,"성장, 마법, 판타지, 액션, 하렘, 상상의 장소"
194,(자막) 지저귀는 새는 날지 않는다,nan,"무거움, BL, 회사"
195,아오하라이드,교복,"삼각관계, 짝사랑, 로맨스, 학교, 회사"
196,소드 아트 온라인 앨리시제이션 War of Underworld part 2,"미소녀, 전사, 먼치킨","이세계, 게임, 액션, SF, 하렘, 상상의 장소"
197,나츠메 우인장 OVA 1: 야옹 선생과 첫 심부름,"요괴 및 괴물, 미소년","동양풍, 감동, 철학, 판타지, 일상, 치유, 미스터리, 마을, 자연, 드라마"
198,쿠로코의 농구 1기,"이능력, 열혈, 미소년, 먼치킨","우정, 성장, 판타지, 스포츠, 학교, 경기장"
199,경계의 저편,"요괴 및 괴물, 귀여움, 먼치킨","감동, 판타지, 액션, 일상, 개그, 로맨스, 학교"
200,노라가미 ARAGOTO,이능력,"배틀, 동양풍, 환생, 감동, 판타지, 액션, 개그, 마을, 사후세계"
201,이웃집 토토로,귀여움,"가족, 감동, 몽환, 판타지, 치유, 자연, 농촌, 드라마"
202,유루캠△ 2기,"미소녀, 발랄가볍","여행, 감동, 일상, 치유"
203,슈타인즈 게이트 제로,nan,"비밀조직, 시간여행, 무거움, 철학, SF, 스릴러, 마을, 집"
204,로그 호라이즌 1기,"이능력, 먼치킨","이세계, 게임, 서양풍, 판타지, 액션, SF"
205,ACCA 13구 감찰과-Regards,nan,"정치, 무거움, 철학, SF, 미스터리, 여성향"
206,나에게 천사가 내려왔다!,발랄가볍,"우정, 감동, 일상, 개그, 마을, 집"
207,충사,요괴 및 괴물,"성장, 감동, 철학, 몽환, 판타지, 미스터리, 자연, 농촌"
208,블렌드 S,"미소녀, 발랄가볍","감동, 일상, 개그, 상점"
209,극장판 이누야샤 첫 번째 : 시대를 초월하는 마음,요괴 및 괴물,"경쟁, 판타지, 액션, 개그, 로맨스, 시대물"
210,이 멋진 세계에 축복을! 붉은 전설,"마왕, 발랄가볍","마법, 이세계, 서양풍, 판타지, 액션, 개그, 하렘, 상상의 장소"
211,클라나드 애프터 스토리,nan,"우정, 성장, 가족, 육아, 감동, 철학, 슬픔, 판타지, 로맨스, 치유, 마을, 드라마"
212,던전에서 만남을 추구하면 안 되는 걸까 III,발랄가볍,"성장, 마법, 판타지, 액션, 하렘, 상상의 장소"
213,"슬라임을 잡으면서 300년, 모르는 사이에 레벨MAX가 되었습니다","요괴 및 괴물, 먼치킨","마법, 이세계, 환생, 판타지, 치유, 마을"
214,"동거인은 무릎, 때때로 머리 위","동물, 발랄가볍","감동, 일상, 개그, 치유, 마을, 집"
215,달링 인 더 프랑키스,로봇,"액션, SF"
216,(자막) 디지몬 어드벤처 라스트 에볼루션 : 인연,nan,"우정, 성장, 배틀, 이세계, 판타지, 액션, 아동, 상상의 장소"
217,앙상블 스타즈!,"미소년, 아이돌","음악, 학교"
218,왕실교사 하이네,선생님,"성장, 감동, 철학, 일상, 왕궁 및 성"
219,(자막) 바이올렛 에버가든 : 영원과 자동 수기 인형,nan,"성장, 전쟁, 감동, 로맨스, 시대물, 드라마"
220,학교생활!,"미소녀, 좀비, 발랄가볍, 교복","우정, 충격의 1화, 생존, 무거움, 스릴러, 재난, 학교"
221,이세계 식당,nan,"이세계, 감동, 판타지, 일상, 음식"
222,케이온! 1기,"미소녀, 발랄가볍, 교복, 귀여움","동아리, 감동, 일상, 개그, 음악, 학교"
223,Fate stay night [Heaven`s Feel] Ⅰ.presage flower,먼치킨,"성장, 배틀, 마법, 서양풍, 무거움, 철학, 판타지, 액션, 마을"
224,(더빙) 하이큐!! 끝과 시작,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
225,짱구는 못말려 22기 : 정면승부! 로봇아빠의 역습,귀여움,"가족, 감동, 슬픔, 일상, 개그, SF, 학교, 집, 회사"
226,학교괴담,"요괴 및 괴물, 귀신, 교복","퇴마, 공포, 학교, 마을"
227,시원찮은 그녀를 위한 육성방법 finale,"미소녀, 교복","성장, 게임, 동아리, 로맨스, 하렘, 학교, 마을, 집"
228,나의 히어로 아카데미아 더 무비 : 두 명의 히어로,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
229,헬싱 얼티메이트 OVA,"뱀파이어, 먼치킨","전쟁, 무거움, 판타지, 액션, 개그, 시대물"
230,PSYCHO-PASS 2기,nan,"무거움, 철학, 액션, SF, 추리, 범죄, 스릴러, 노이타미나, 디스토피아"
231,무능한 나나,"이능력, 교복","두뇌싸움, 무거움, 추리, 범죄, 스릴러, 학교, 섬"
232,도우미 여우 센코 씨,"요괴 및 괴물, 동물, 발랄가볍","감동, 일상, 개그, 마을, 집"
233,은혼 최종장 : 은빛 영혼편,외계인,"동양풍, 판타지, 액션, 개그, 시대물, 무협, 마을, 상점"
234,쿠로코의 농구 3기,"이능력, 열혈, 미소년, 먼치킨","우정, 성장, 판타지, 스포츠, 학교, 경기장"
